cross_species_cluster,cluster_label,subclass_label,subclass_color,consensus_cluster,consensus_cluster_label
glia|1,Astro_1,Astro,#655c47,yes,Astro|1
sst_sst_chodl_pvalb|1,Chandelier_1,Chandelier,#f642a8,yes,Chandelier|1
glia|5,Endo_1,Endo,#8d6c62,yes,Endo|5
it_types|1,L2/3 IT_1,L2/3 IT,#b1ec30,yes,"L2/3, L4 IT|1"
it_types|4,L2/3 IT_2,L2/3 IT,#b1ec30,yes,"L2/3, L4 IT|4"
it_types|7,L2/3 IT_3,L2/3 IT,#b1ec30,yes,L2/3 IT|7
it_types|5,L2/3 IT_4,L2/3 IT,#b1ec30,no,NA
it_types|6,L2/3 IT_5,L2/3 IT,#b1ec30,no,NA
it_types|9,L4 IT_1,L4 IT,#00e5e5,yes,L4 IT|9
it_types|10,L4 IT_2,L4 IT,#00e5e5,yes,L4 IT|10
it_types|11,L4 IT_3,L4 IT,#00e5e5,no,NA
l5et_l56np_l6ct_l6b|1,L5 ET_1,L5 ET,#0e5b78,yes,L5 ET|1
l5et_l56np_l6ct_l6b|2,L5 ET_2,L5 ET,#0e5b78,yes,L5 ET|2
it_types|12,L5 IT_1,L5 IT,#50b2ad,yes,L5 IT|12
it_types|13,L5 IT_2,L5 IT,#50b2ad,yes,L5 IT|13
it_types|15,L5 IT_3,L5 IT,#50b2ad,no,NA
l5et_l56np_l6ct_l6b|3,L5/6 NP_1,L5/6 NP,#3e9e64,yes,L5/6 NP|3
l5et_l56np_l6ct_l6b|4,L5/6 NP_2,L5/6 NP,#3e9e64,yes,L5/6 NP|4
l5et_l56np_l6ct_l6b|7,L6 CT_1,L6 CT,#2e8cb8,yes,L6 CT|7
l5et_l56np_l6ct_l6b|8,L6 CT_2,L6 CT,#2e8cb8,yes,L6 CT|8
it_types|16,L6 IT Car3_1,L6 IT Car3,#5100ff,yes,L6 IT Car3|16
it_types|17,L6 IT Car3_2,L6 IT Car3,#5100ff,yes,L6 IT Car3|17
it_types|19,L6 IT_1,L6 IT,#a19922,yes,L6 IT|19
it_types|18,L6 IT_2,L6 IT,#a19922,no,NA
l5et_l56np_l6ct_l6b|9,L6b_1,L6b,#7045aa,yes,L6b|9
l5et_l56np_l6ct_l6b|10,L6b_2,L6b,#7045aa,yes,L6b|10
l5et_l56np_l6ct_l6b|13,L6b_3,L6b,#7045aa,yes,L6b|13
l5et_l56np_l6ct_l6b|12,L6b_4,L6b,#7045aa,no,NA
lamp5_sncg_vip|2,Lamp5_1,Lamp5,#da808c,yes,Lamp5|2
lamp5_sncg_vip|3,Lamp5_2,Lamp5,#da808c,yes,"Lamp5, Sncg|3"
lamp5_sncg_vip|29,Lamp5_3,Lamp5,#da808c,no,NA
lamp5_sncg_vip|4,Lamp5_Lhx6_1,Lamp5_Lhx6,#935f50,yes,Lamp5_Lhx6|4
glia|7,Micro-PVM_1,Micro-PVM,#94af97,yes,Micro-PVM|7
glia|20,Micro-PVM_2,Micro-PVM,#94af97,no,NA
glia|23,Micro-PVM_3,Micro-PVM,#94af97,no,NA
glia|9,Oligo_1,Oligo,#53776b,yes,Oligo|9
glia|12,OPC_1,OPC,#374a45,yes,OPC|12
glia|13,OPC_2,OPC,#374a45,yes,OPC|13
lamp5_sncg_vip|5,Pax6_1,Pax6,#71238c,yes,Pax6|5
lamp5_sncg_vip|6,Pax6_2,Pax6,#71238c,yes,"Pax6, Sncg|6"
sst_sst_chodl_pvalb|10,Pvalb_1,Pvalb,#d93136,yes,Pvalb|10
sst_sst_chodl_pvalb|12,Pvalb_2,Pvalb,#d93136,yes,Pvalb|12
sst_sst_chodl_pvalb|3,Pvalb_3,Pvalb,#d93136,yes,Pvalb|3
sst_sst_chodl_pvalb|6,Pvalb_4,Pvalb,#d93136,yes,Pvalb|6
sst_sst_chodl_pvalb|2,Pvalb_5,Pvalb,#d93136,no,NA
sst_sst_chodl_pvalb|9,Pvalb_6,Pvalb,#d93136,no,NA
sst_sst_chodl_pvalb|11,Pvalb_7,Pvalb,#d93136,no,NA
lamp5_sncg_vip|10,Sncg_1,Sncg,#df70ff,yes,Sncg|10
lamp5_sncg_vip|11,Sncg_2,Sncg,#df70ff,yes,Sncg|11
lamp5_sncg_vip|7,Sncg_3,Sncg,#df70ff,yes,"Pax6, Sncg|7"
lamp5_sncg_vip|8,Sncg_4,Sncg,#df70ff,no,NA
lamp5_sncg_vip|12,Sncg_5,Sncg,#df70ff,no,NA
lamp5_sncg_vip|14,Sncg_6,Sncg,#df70ff,no,NA
lamp5_sncg_vip|13,Sncg_7,Sncg,#df70ff,no,NA
lamp5_sncg_vip|36,Sncg_8,Sncg,#df70ff,no,NA
sst_sst_chodl_pvalb|13,Sst Chodl_1,Sst Chodl,#b0b10b,yes,Sst Chodl|13
sst_sst_chodl_pvalb|14,Sst Chodl_2,Sst Chodl,#b0b10b,no,NA
sst_sst_chodl_pvalb|15,Sst_1,Sst,#ff9900,yes,Sst|15
sst_sst_chodl_pvalb|36,Sst_10,Sst,#ff9900,no,NA
sst_sst_chodl_pvalb|19,Sst_11,Sst,#ff9900,no,NA
sst_sst_chodl_pvalb|24,Sst_12,Sst,#ff9900,no,NA
sst_sst_chodl_pvalb|27,Sst_13,Sst,#ff9900,no,NA
sst_sst_chodl_pvalb|28,Sst_14,Sst,#ff9900,no,NA
sst_sst_chodl_pvalb|26,Sst_2,Sst,#ff9900,yes,Sst|26
sst_sst_chodl_pvalb|20,Sst_3,Sst,#ff9900,yes,Sst|20
sst_sst_chodl_pvalb|18,Sst_4,Sst,#ff9900,yes,Sst|18
sst_sst_chodl_pvalb|30,Sst_5,Sst,#ff9900,yes,Sst|30
sst_sst_chodl_pvalb|29,Sst_6,Sst,#ff9900,yes,Sst|29
sst_sst_chodl_pvalb|22,Sst_7,Sst,#ff9900,yes,Sst|22
sst_sst_chodl_pvalb|25,Sst_8,Sst,#ff9900,yes,Sst|25
sst_sst_chodl_pvalb|32,Sst_9,Sst,#ff9900,yes,Sst|32
lamp5_sncg_vip|24,Vip_1,Vip,#a45fbf,yes,Vip|24
lamp5_sncg_vip|20,Vip_10,Vip,#a45fbf,no,NA
lamp5_sncg_vip|21,Vip_11,Vip,#a45fbf,no,NA
lamp5_sncg_vip|18,Vip_12,Vip,#a45fbf,no,NA
lamp5_sncg_vip|19,Vip_13,Vip,#a45fbf,no,NA
lamp5_sncg_vip|17,Vip_2,Vip,#a45fbf,yes,Vip|17
lamp5_sncg_vip|22,Vip_3,Vip,#a45fbf,yes,Vip|22
lamp5_sncg_vip|15,Vip_4,Vip,#a45fbf,yes,Vip|15
lamp5_sncg_vip|25,Vip_5,Vip,#a45fbf,yes,Vip|25
lamp5_sncg_vip|26,Vip_6,Vip,#a45fbf,yes,Vip|26
lamp5_sncg_vip|27,Vip_7,Vip,#a45fbf,yes,Vip|27
lamp5_sncg_vip|9,Vip_8,Vip,#a45fbf,yes,"Sncg, Vip|9"
lamp5_sncg_vip|16,Vip_9,Vip,#a45fbf,no,NA
glia|15,VLMC_1,VLMC,#697255,yes,VLMC|15
glia|14,VLMC_2,VLMC,#697255,no,NA
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,